profile,model,spec,nmax,prompt_id,tg_tps,accept,meanlen,gen_tokens
q9b,Qwen3.5-9B-Q4_K_M,none,off,1,24.65,,,256
q9b,Qwen3.5-9B-Q4_K_M,none,off,2,24.75,,,256
q9b,Qwen3.5-9B-Q4_K_M,none,off,3,24.71,,,256
q9b,Qwen3.5-9B-Q4_K_M,none,off,4,24.73,,,256
q9b,Qwen3.5-9B-Q4_K_M,none,off,5,24.74,,,256
q9b,Qwen3.5-9B-Q4_K_M,none,off,6,24.73,,,256
q9b,Qwen3.5-9B-Q4_K_M,none,off,7,24.74,,,256
q9b,Qwen3.5-9B-Q4_K_M,none,off,8,24.72,,,256
q9b,Qwen3.5-9B-Q4_K_M,none,off,9,24.75,,,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,1,0,28.91,0.90299,1.90,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,1,1,28.96,0.90977,1.91,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,1,2,28.37,0.84783,1.85,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,1,3,30.56,0.99219,1.99,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,1,4,29.07,0.89552,1.90,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,1,5,29.89,0.94656,1.95,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,1,6,28.85,0.88148,1.88,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,1,7,28.76,0.87500,1.88,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,1,8,28.80,0.87500,1.88,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,1,9,28.99,0.88889,1.89,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,2,0,33.42,0.83684,2.67,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,2,1,32.54,0.76238,2.52,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,2,2,33.49,0.79188,2.58,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,2,3,36.47,0.91111,2.82,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,2,4,33.11,0.77889,2.55,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,2,5,36.33,0.90608,2.80,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,2,6,33.52,0.79592,2.59,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,2,7,33.56,0.79592,2.59,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,2,8,32.63,0.75743,2.51,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,2,9,34.25,0.82292,2.65,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,3,0,30.03,0.73529,3.19,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,3,1,30.07,0.74576,3.23,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,3,2,28.96,0.68400,3.04,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,3,3,35.06,0.89855,3.70,256
q9b,Qwen3.5-9B-Q4_K_M,draft-mtp,3,4,29.31,0.69355,3.07,256
